BALTIC OPERATIONAL AND OCEANOGRAPHICAL SYSTEM (BOOS)
OCEANOGRAPHIC DATA
STATIONS

BOOSNR	= Station Number used in BOOS
PLATFORM	= Platform ID
STATION	= Station Name (Vessel Name)
LAT	= Latitude in decimal degress
LON	= Longitude in decimal degress
 
TYPE	= Station Type
where
FP	= Fixed Platform
TG	= Tide Gauge
MB	= Moored Buoy
FB	= Ferrybox/Vessel
GL	= Glider
CT	= CTD Profiles 
SF	= Lightship

DATUM	= Sea Level Reference Datum

OWNER/PROVIDER/PU = Station Owner / Data Provider / Production unit
where
BSH	=	1850	Federal Maritime and Hydrographic Agency	larissa.mueller@bsh.de
CTH	=	3506	Chalmers Technical University	guinnar.elgered@chalmers.se
DMI	=	469	Danish Meteorological Institute	vh@dmi.dk
DMU	=	3037	Danish Centre for Environment and Energy	las@dmu.dk
EMHI	=	872	Estonian Meteorological and Hydrological Institute	urmas.lips@phys.sea.ee
EPA	=	680	Environmental Protection Agency	aaa@aaa.am.lt
FISHSEC	=	991	Federal Research Centre for Fisheries	info@fishsec.org
FM	=	1217	Swedish Armed Forces	johanna.linders@smhi.se
FMI	=	1725	Finnish Meteorological Institute	pekka.alenius@fmi.fi
GBG	=	-	City of Gothenburg	johanna.linders@smhi.se
HZG	=	2842	Helmholtz-Zentrum Geesthacht	wilhelm.petersen@gkss.de
IMWM	=	193	Institute for Water Management	magdalena.kaminska@imgw.pl
IOPAS	=	195	Institute of Oceanology	wichor@iopan.gda.pl
IOW	=	116	Baltic Sea Research Institute Warnemünde	iowinfo@io-warnemuende.de
KDI	=	466	Danish Coastal Authority	cas@kyst.dk
KMRC	=	617	Kristineberg Marine Research Station	johanna.linders@smhi.se
LEGMA	=	892	Latvian Environment, Geology and Meteorology Agency	jurijs.siskins@lvgma.gov.lv
LHEI	=	698	Latvian Institute of Aquatic Ecology	anda.ikauniece@lhei.lv
LLUR	=	2537	State Office for Agriculture, Environment and Rural Areas of Schleswig Holstein	poststelle@llur.landsh.de
LNU	=	4812	Linnaeus University	johanna.linders@smhi.se
LUNG	=	993	State Agency for Environment, Nature and Geology, Mecklenburg-Vorpommern	poststelle@lung.mv-regierung.de
METNO	=	1212	Norwegian Meteorological Institute	bruce.hackett@met.no
MIG	=	1241	Maritime Institute Gdansk	anstas@im.gda.pl
MSI	=	713	Marine Systems Institute at Tallinn University of Technology	urmas.lips@msi.ttu.ee
NERI	=	729	National Environmental Research institute	las@dmu.dk
NIVA	=	1417	Norwegian Institute for Water research	pierre.jaccard@niva.no
NIOZ 	=	630	Royal Netherlands Institute for Sea Research	dmg@nioz.nl
NWAHEM	=	911	North-West Regional Administration for Hydrometeorology and Environmental Monitoring	gvi@meteo.nw.ru
RAS	=	685	P.P.Shirshov Institute of Oceanology	office@ocean.ru
RIHMI	=	681	All-Russia Research Institute of Hydrometeorological Information	nodc@meteo.ru
RUMS	=	2710	Federal Hydrometeorology and Environmental Monitoring Service	opnikitin@mail.ru
SMA	=	1215	Swedish Maritime Administration	lars.tornquist@sjofartsverket.se
SMF	=	618	Stockholm Research Centre	johanna.linders@smhi.se
SMHI	=	545	Swedish Meteorological and Hydrological Institute	johanna.linders@smhi.se
STE	=	1218	Stena Line	johanna.linders@smhi.se
SYKE	=	1104	Finnish Environmental Institute	seppo.kaitala@ymparisto.fi
UMF	=	622	Umea Research Centre	johanna.linders@smhi.se
UT	=	3138	University of Tartu	ivan.kuprijanov@ut.ee
WSA	=	2313	German Federal Waterways and Shipping Administration	larissa.mueller@bsh.de

PARAMETERS	= Parameters (myo_code) provided from each station. See MYO_PARAMETERS.txt for more information.


BOOSNR	PLATFORM	STATION	LAT	LON	TYPE	DATUM	OWNER	PROVIDER	PU	PARAMETERS
38034	StenaAdventurer	Stena Adventurer	-	-	FB	VQLZ4	STE	STE	SMHI	TIME LATX LONX DEPH TEMP HCDT HCSP WDIR WSPD
38035	StenaBritannica	Stena Britannica	-	-	FB	2DMO6	STE	STE	SMHI	TIME LATX LONX DEPH TEMP HCDT HCSP WDIR WSPD
38036	StenaEurope	Stena Europe	-	-	FB	VSTA3	STE	STE	SMHI	TIME LATX LONX DEPH HCDT HCSP WDIR WSPD
38037	StenaFlavia	Stena Flavia	-	-	FB	OWOD2	STE	STE	SMHI	TIME LATX LONX DEPH TEMP HCDT HCSP WDIR WSPD
38038	StenaGothica	Stena Gothica	-	-	FB	SGLH	STE	STE	SMHI	TIME LATX LONX DEPH HCDT HCSP WDIR WSPD
38039	StenaHibernia	Stena Hibernia	-	-	FB	2HBG6	STE	STE	SMHI	TIME LATX LONX DEPH
38040	StenaHollandica	Stena Hollandica	-	-	FB	PBMM	STE	STE	SMHI	TIME LATX LONX DEPH TEMP HCDT HCSP WDIR WSPD
38041	StenaJutlandica	Stena Jutlandica	-	-	FB	SEAN	STE	STE	SMHI	TIME LATX LONX DEPH TEMP HCDT HCSP WDIR WSPD
38042	StenaMersey	Stena Mersey	-	-	FB	2BPR6	STE	STE	SMHI	TIME LATX LONX DEPH TEMP HCDT HCSP WDIR WSPD
38043	StenaNautica	Stena Nautica	-	-	FB	SGQU	STE	STE	SMHI	TIME LATX LONX DEPH HCDT HCSP WDIR WSPD
38044	StenaLagan	Stena Lagan	-	-	FB	2BGR6	STE	STE	SMHI	TIME LATX LONX DEPH HCDT HCSP WDIR WSPD
38045	StenaSaga	Stena Saga	-	-	FB	SLVH	STE	STE	SMHI	TIME LATX LONX DEPH HCDT HCSP WDIR WSPD
38046	StenaScandinavica	Stena Scandinavica	-	-	FB	SJLB	STE	STE	SMHI	TIME LATX LONX DEPH TEMP HCDT HCSP WDIR WSPD
38047	StenaScotia	Stena Scotia	-	-	FB	PFSN	STE	STE	SMHI	TIME LATX LONX DEPH HCDT HCSP
38048	StenaSuperfastVII	Stena Superfast VII	-	-	FB	2EZR3	STE	STE	SMHI	TIME LATX LONX DEPH TEMP HCDT HCSP WDIR WSPD
38049	StenaSuperfastVIII	Stena Superfast VIII	-	-	FB	2EZR4	STE	STE	SMHI	TIME LATX LONX DEPH TEMP HCDT HCSP WDIR WSPD
38050	StenaSuperfastX	Stena Superfast X	-	-	FB	2IBK4	STE	STE	SMHI	TIME LATX LONX DEPH HCDT HCSP WDIR WSPD
38051	StenaTransit	Stena Transit	-	-	FB	PHJU	STE	STE	SMHI	TIME LATX LONX DEPH HCDT HCSP WDIR WSPD
38052	StenaTransporter	Stena Transporter	-	-	FB	PCIY	STE	STE	SMHI	TIME LATX LONX DEPH HCDT HCSP WDIR WSPD
38053	StenaVision	Stena Vision	-	-	FB	SKPZ	STE	STE	SMHI	TIME LATX LONX DEPH TEMP HCDT HCSP WDIR WSPD
38054	Urd	Urd	-	-	FB	OUYL2	STE	STE	SMHI	TIME LATX LONX DEPH HCDT HCSP WDIR WSPD
38055	Tavastland	Tavastland	-	-	FB	SKEC	SMHI	SMHI	SMHI	TIME LATX LONX DEPH DRYT FLU2 PHYC TUR4 LGHT DOXY TEMP PSAL

38900	MIA	MIA	-	-	GL	-	MSI	MSI	SMHI	TIME LATX LONX DEPH PRES TEMP PSAL

33001	LasoOst	Läsö Ost	57.2167	11.5667	MB	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH WDIR WSPD GSPD ATMP DRYT VHM0 VTZA VMDR VEMH VTPK TUR2 FLU2 TEMP PSAL HCDT HCSP
33002	HuvudskarOst	Huvudskär Ost	58.9333	19.1667	MB	-	FM	SMHI	SMHI	TIME LATX LONX DEPH WDIR WSPD GSPD ATMP DRYT VHM0 VTZA VMDR VEMH VTPK TUR2 FLU2 TEMP PSAL HCDT HCSP
33003	FinngrundetWR	Finngrundet WR	60.9000	18.6167	MB	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH VHM0 VTZA VEMH VZMX VTPK VPED VPSP TEMP
33004	SodraOstersjon	Södra Östersjön	55.9167	18.7833	MB	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH VHM0 VTZA VEMH VZMX VTPK VPED VPSP TEMP
33005	Vaderoarna	Vaderoarna	58.4833	10.9333	MB	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH WDIR WSPD GSPD ATMP DRYT VHM0 VTZA VMDR VEMH VZMX VTPK TUR2 FLU2 TEMP PSAL HCDT HCSP
33008	Knollsgrund	Knolls grund	57.6167	17.6167	MB	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH VHM0 VTZA VEMH VZMX VTPK VPED VPSP TEMP
33011	LasoOstWR	Läsö Ost WR	57.2167	11.5667	MB	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH VHM0 VTZA VEMH VZMX VTPK VPED VPSP TEMP
33012	HuvudskarOstWR	Huvudskär Ost WR	58.9333	19.1667	MB	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH VHM0 VTZA VEMH VZMX VTPK VPED VPSP TEMP
33015	VaderoarnaWR	Väderöarna WR	58.4833	10.9333	MB	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH VHM0 VTZA VEMH VZMX VTPK VPED VPSP TEMP

33021	Norrbyn	Norrbyn	63.5000	19.8083	MB	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH WDIR WSPD ATMP DRYT FLU2 TUR4 DOX1 TEMP PSAL HCDT HCSP
33022	Asko	Askö	58.8020	17.6252	MB	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH WDIR WSPD ATMP DRYT FLU2 TUR4 DOX1 TEMP PSAL HCDT HCSP
33023	OlandOst	Öland Ost	56.9308	17.0607	MB	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH WDIR WSPD ATMP DRYT TUR2 FLU2 TUR4 DOX1 TEMP PSAL HCDT HCSP
33024	Havstensfjord	Havstensfjord	58.3025	11.7533	MB	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH WDIR WSPD ATMP DRYT TUR2 FLU2 TUR4 DOX1 TEMP PSAL HCDT HCSP
33025	Kristineberg	Kristineberg	58.2568	11.4510	MB	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH WDIR WSPD ATMP DRYT TUR2 FLU2 TUR4 DOX1 TEMP PSAL HCDT HCSP
33026	Koster	Koster	58.8833	11.0983	MB	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH WDIR WSPD ATMP DRYT TUR2 FLU2 TUR4 DOX1 TEMP PSAL HCDT HCSP
33027	Tangesund	Tångesund	58.0746	11.4925	MB	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH WDIR WSPD ATMP DRYT TUR2 TUR4 DOX1 TEMP PSAL HCDT HCSP
33030	LysekilWR	Lysekil WR	58.1835	11.0153	MB	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH VHM0 VEMH VZMX VTZA VTPK VPED TEMP
33031	HarsfjardenWR	Hårsfjärden WR	59.0363	18.1205	MB	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH VHM0 VEMH VZMX VTPK VTZA VPED TEMP
33032	MysingenWR	Mysingen WR	59.0144	18.2253	MB	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH VHM0 VEMH VZMX VTPK VTZA VPED TEMP
33033	BrofjordenWR	Brofjorden WR	58.2667	11.2500	MB	-	SMA	SMHI	SMHI	TIME LATX LONX DEPH VHM0 VTZA VEMH VZMX VTPK  VPED VPSP TEMP
33041	L9BS	L9 Bottensystem	56.5659	12.7249	FP	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH PRES TEMP PSAL DOX1 HCDT HCSP SVEL
33042	HanobuktenBS	Hanöbukten Bottensystem	55.8776	14.5401	FP	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH PRES TEMP PSAL DOX1 HCDT HCSP SVEL
33043	OlandSodraBS	Öland Södra Bottensystem	56.1680	16.6344	FP	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH PRES TEMP PSAL DOX1 HCDT HCSP SVEL
33044	HavstensfjordBS	Havstensfjord Bottensystem	58.3025	11.7533	FP	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH PRES TEMP PSAL DOX1 HCDT HCSP SVEL
33045	Hanobukten2BS	Hanöbukten 2 Bottensystem	55.8646	14.5756	FP	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH PRES TEMP PSAL DOX1 HCDT HCSP SVEL
33046	Hanobukten3BS	Hanöbukten 3 Bottensystem	55.8777	14.5444	FP	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH PRES TEMP PSAL SVEL
33047	Flinten7BS	Flinten7 Bottensystem	55.5914	12.8443	FP	-	SMHI	SMHI	SMHI	TIME LATX LONX DEPH PRES TEMP PSAL SVEL

33050	Dalbosjon	Dalbosjön	58.8940	12.9190	MB	-	METNO	METNO	SMHI	TIME LATX LONX DEPH TEMP

33051	Kalix	Kalix	65.6970	23.0962	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33052	Furuogrund	Furuögrund	64.9157	21.2306	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33053	Ratan	Ratan	63.9861	20.8950	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33054	Skagsudde	Skagsudde	63.1905	19.0124	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33055	Spikarna	Spikarna	62.3632	17.5312	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33056	Forsmark	Forsmark	60.4085	18.2109	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV TEMP
33057	Stockholm	Stockholm	59.3243	18.0818	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33058	LandsortNorra	Landsort Norra	58.7688	17.8589	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV TEMP
33059	Marviken	Marviken	58.5537	16.8371	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV TEMP
33060	Visby	Visby	57.6393	18.2845	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33061	OlandsNorraUdde	Ölands norra udde	57.3662	17.0971	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33062	Oskarshamn	Oskarshamn	57.2749	16.4779	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33063	Kungsholmsfort	Kungsholmsfort	56.1052	15.5893	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV TEMP
33064	Simrishamn	Simrishamn	55.5576	14.3577	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33065	Skanor	Skanör	55.4168	12.8296	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33066	Klagshamn	Klagshamn	55.5223	12.8936	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33067	Barseback	Barsebäck	55.7565	12.9034	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33068	Viken	Viken	56.1421	12.5793	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33069	Ringhals	Ringhals	57.2498	12.1126	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33070	GoteborgTorshamnen	Göteborg-Torshamnen	57.6846	11.7907	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV TEMP
33071	Stenungsund	Stenungsund	58.0933	11.8325	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33072	Smogen	Smögen	58.3537	11.2178	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33073	Kungsvik	Kungsvik	58.9966	11.1274	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV

33074	Draghallan	Draghällan	62.3333	17.4667	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33075	Bjorn	Björn	60.6333	17.9667	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33076	Landsort1	Landsort	58.7500	17.8667	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33077	Malmo	Malmö	55.6167	13.0000	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33078	Ystad	Ystad	55.4167	13.8167	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33079	Varberg1	Varberg	57.1000	12.2167	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33080	GoteborgKlippan	Göteborg-Klippan	57.6833	11.9000	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
										
33081	Uddevalla	Uddevalla mobil	58.3475	11.8948	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33082	Angelholm	Ängelholm mobil	56.2980	12.7865	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33083	Ahus	Åhus mobil	55.9284	14.3286	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33084	Onsala	Onsala	57.3920	11.9190	TG	MSL	CTH	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33085	Arko	Arkö mobil	58.4843	16.9607	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33088	Haparanda	Haparanda mobil	65.7717	23.9029	TG	MSL	SMHI	SMHI	SMHI	TIME LATX LONX DEPH SLEV

33091	GoteborgAlvsborgsbron	Göteborg-Älvsborgsbron	57.6914	11.9011	TG	RH2000	GBG	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33092	GoteborgGotaalvbron	Göteborg-Götaälvbron	57.7147	11.9669	TG	RH2000	GBG	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33093	GoteborgTingstadstunneln	Göteborg-Tingstadstunneln	57.7231	11.9869	TG	RH2000	GBG	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33094	GoteborgLarjeholm	Göteborg-Lärjeholm	57.7658	12.0055	TG	RH2000	GBG	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33095	GoteborgAgnesberg	Göteborg-Agnesberg	57.7898	12.0101	TG	RH2000	GBG	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33096	GoteborgEriksberg	Göteborg-Eriksberg	57.6966	11.9088	TG	RH2000	GBG	SMHI	SMHI	TIME LATX LONX DEPH SLEV
33099	Kristineberg1	Kristineberg	58.2500	11.4500	TG	MSL	KMRC	SMHI	SMHI	TIME LATX LONX DEPH SLEV TEMP
					
33101	DrogdenCU	Drogden CU	55.5358	12.7117	FP	-	DMI	DMI	SMHI	TIME LATX LONX DEPH HCDT HCSP
33101	DrogdenTS	Drogden TS	55.5358	12.7117	FP	-	DMI	DMI	SMHI	TIME LATX LONX DEPH TEMP PSAL
33104	VengeanceCU	Vengeance CU	55.2167	11.0833	FP	-	DMI	DMI	SMHI	TIME LATX LONX DEPH HCDT HCSP
33104	VengeanceTS	Vengeance TS	55.2167	11.0833	FP	-	DMI	DMI	SMHI	TIME LATX LONX DEPH TEMP PSAL
33105	W26CU	W26 CU	55.4000	10.9500	FP	-	DMI	DMI	SMHI	TIME LATX LONX DEPH HCDT HCSP
33105	W26TS	W26 TS	55.4000	10.9500	FP	-	DMI	DMI	SMHI	TIME LATX LONX DEPH TEMP PSAL

33101	Drogden	Drogden	55.5358	12.7117	FP	DVR90	DMI	DMI	SMHI	TIME LATX LONX DEPH SLEV TEMP PSAL
33121	Skagen	Skagen	57.7194	10.5858	TG	DVR90	DMI	DMI	SMHI	TIME LATX LONX DEPH SLEV
33122	ThyboronHavn	Thyborön havn	56.7054	8.2226	TG	DVR90	KDI	DMI	BSH	TIME LATX LONX DEPH SLEV
33123	Ferring	Ferring	56.5246	8.1152	TG	DVR90	KDI	DMI	BSH	TIME LATX LONX DEPH SLEV
33124	Grena	Grenå	56.4111	10.9306	TG	DVR90	DMI	DMI	SMHI	TIME LATX LONX DEPH SLEV
33125	TorsmindeHavn	Torsminde havn	56.3703	8.1201	TG	DVR90	KDI	DMI	BSH	TIME LATX LONX DEPH SLEV
33127	HvideSandeHavn	Hvide Sande havn	56.0008	8.1292	TG	DVR90	KDI	DMI	BSH	TIME LATX LONX DEPH SLEV
